,island,sent_number,token,critical,surprisal
4,1,18,世界,0,6.557899475097660
5,1,18,中,0,11.291378021240200
6,1,18,の,0,2.095888614654540
7,1,18,学者,0,10.272401809692400
8,1,18,から,0,4.668635368347170
9,1,18,注目,0,7.7907304763793900
10,1,18,さ,0,1.6762971878051800
11,1,18,れ,0,0.3069548010826110
12,1,18,た,0,1.031294822692870
13,1,18,教授,1,10.956011772155800
14,1,18,は,1,2.3044474124908400
15,1,18,多忙,1,12.12121295928960
16,1,18,を,1,2.8312301635742200
17,1,18,極め,1,9.701583862304690
18,1,18,た,1,1.0280413627624500
19,1,18,。,1,0.39731350541114800
20,1,18,</s>,1,2.5624115467071500
0,1,19,購入,0,9.073211669921880
1,1,19,し,0,3.928090810775760
2,1,19,た,0,1.2657066583633400
3,1,19,絵画,0,9.546480178833010
4,1,19,が,0,2.374652862548830
5,1,19,先日,0,10.871301651001000
6,1,19,公表,0,10.127542495727500
7,1,19,さ,0,2.755241870880130
8,1,19,れ,0,0.28028300404548600
9,1,19,た,0,1.0469155311584500
10,1,19,美術,1,10.249295234680200
11,1,19,館,1,13.025835990905800
12,1,19,長,1,6.105710029602050
13,1,19,は,1,1.6442557573318500
14,1,19,展示,1,9.007216453552250
15,1,19,会,1,6.906693458557130
16,1,19,を,1,2.494035243988040
17,1,19,計画,1,8.388989448547360
18,1,19,し,1,1.0576000213623000
19,1,19,た,1,1.0961322784423800
20,1,19,。,1,0.32957205176353500
21,1,19,</s>,1,2.699606418609620
0,1,20,演じ,0,10.493069648742700
1,1,20,た,0,3.2647864818573
2,1,20,芝居,0,11.42845344543460
3,1,20,が,0,2.3578689098358200
4,1,20,連日,0,10.110310554504400
5,1,20,マスコミ,0,11.181642532348600
6,1,20,に,0,1.6749004125595100
7,1,20,報道,0,9.356704711914060
8,1,20,さ,0,2.7026989459991500
9,1,20,れ,0,0.3761815130710600
10,1,20,た,0,0.9862572550773620
11,1,20,役者,1,11.114941596984900
12,1,20,は,1,2.3860256671905500
13,1,20,海外,1,8.194168090820310
14,1,20,に,1,2.856971025466920
15,1,20,招待,1,9.487048149108890
16,1,20,さ,1,2.0645980834960900
17,1,20,れ,1,0.2822970449924470
18,1,20,た,1,1.0758626461029100
19,1,20,。,1,0.5414822697639470
20,1,20,</s>,1,2.576737403869630
0,1,21,開発,0,7.883776664733890
1,1,21,し,0,4.037204742431640
2,1,21,た,0,1.2558627128601100
3,1,21,新,0,6.660892009735110
4,1,21,製品,0,7.615007400512700
5,1,21,が,0,2.730560541152950
6,1,21,今朝,0,13.357304573059100
7,1,21,社外,0,13.891194343566900
8,1,21,に,0,3.482867956161500
9,1,21,発表,0,6.6909942626953100
10,1,21,さ,0,1.9815623760223400
11,1,21,れ,0,0.2880461812019350
12,1,21,た,0,0.7070647478103640
13,1,21,若手,1,10.434541702270500
14,1,21,社員,1,9.511552810668950
15,1,21,は,1,2.5823230743408200
16,1,21,誇り,1,10.518990516662600
17,1,21,に,1,2.3383960723877000
18,1,21,思っ,1,8.17209529876709
19,1,21,た,1,0.9914089441299440
20,1,21,。,1,0.6199646592140200
21,1,21,</s>,1,3.0765445232391400
0,1,22,デザイン,0,8.702842712402340
1,1,22,し,0,4.766585350036620
2,1,22,た,0,1.4300464391708400
3,1,22,ドレス,0,10.965092658996600
4,1,22,が,0,2.3941802978515600
5,1,22,大勢,0,8.988703727722170
6,1,22,の,0,2.042307138442990
7,1,22,記者,0,7.868393421173100
8,1,22,に,0,2.1373164653778100
9,1,22,取材,0,8.988000869750980
10,1,22,さ,0,2.6131577491760300
11,1,22,れ,0,0.5039178729057310
12,1,22,た,0,0.9649004936218260
13,1,22,女優,1,9.839258193969730
14,1,22,は,1,2.3961944580078100
15,1,22,自信,1,10.386049270629900
16,1,22,を,1,2.1178643703460700
17,1,22,付け,1,6.610379695892330
18,1,22,た,1,1.381592035293580
19,1,22,。,1,0.24599559605121600
20,1,22,</s>,1,2.5038459300994900
0,1,23,作っ,0,10.279487609863300
1,1,23,た,0,2.059979200363160
2,1,23,日本,0,5.410717010498050
3,1,23,酒,0,10.004342079162600
4,1,23,が,0,2.3538639545440700
5,1,23,先月,0,9.236416816711430
6,1,23,ガイドブック,0,13.252379417419400
7,1,23,で,0,3.3244669437408400
8,1,23,特集,0,11.597816467285200
9,1,23,さ,0,2.569563150405880
10,1,23,れ,0,0.34385690093040500
11,1,23,た,0,0.8768296241760250
12,1,23,外国,1,8.076193809509280
